Date of submission,AISHE ID,Institution Track ID,Application For,Cycle of Accreditation,Name of the College,Date of establishment of the Institution,Name of the Head of the Institution,Designation,Does the college function from Own Campus,Address of the College,State/UT,District,City,Pin,Phone No,Fax No,Mobile No,Registered Email,Alternate Email,Alternate Faculty Contact Details,Address,State/UT_1,Pin_1,Phone No_1,Fax No_1,Mobile No_1,Email,Alternate Email_1,Website,"Has the Institution completed 6 years of existence /
Years of graduation of last two batches",Nature of the college,College Affiliation,"Is the Institution recognized under section 2(f) of the
UGC Act?","Is the Institution recognized under section 12B of the
UGC Act?
If yes, date of recognition by UGC under section
12B along with latest Plan General Development
Grant release letter","Is the institution recognised as an Autonomous
College by the UGC?","Is the institution recognised as a ‘College with
Potential for Excellence (CPE)’ by the UGC?","Is the institution recognised as a ‘College of
Excellence’ by the UGC?","Is the College offering any programmes recognised
by any Statutory Regulatory Authority (SRA)",State,University Name,Male,Female,Transgender,Total,Date of establishment of IQAC,Date of uploading data on MHRD website for AISHE,Name of the University,Does the University function from Own Campus,Address of the University,Alternate Phone No,City_1,Alternate Phone No_1,Nature of the University,Type of University,"If the University is not under the purview of UGC
indicate the parent Ministry / Authority under which it
was established(attach proof)","Is the institution recognised as a ‘University with
Potential for Excellence (CPE)’ by the UGC?","Is the University offering any programmes recognised
by any Statutory Regulatory Authority (SRA)","Whether the Institution is registered in the National
Academic Depository (NAD) system",Old Name of the Institution,,Ol Name of University
09/01/2018,C-4097,GJCOGN13496,Accreditation,Cycle3 Cycle Date Grade Score 1 04/02/2008 B 78.60 2 25/10/2013 B 2.80 3 02/11/2018 B 2.29,TOLANI COMMERCE COLLEGE,15/06/1973,Dr.MANISH K. PANDYA,Principal,Yes,"Tolani Commerce College Nr. Post Office, P. Box No. 27,",GUJARAT,,ADIPUR,370205,02836-260623,02836-263429,9426999192,tcctolani@gmail.com,mpandya244@gmail.com,Dr.A. V. BHARATHI Associate Professor,"S-1, Sharda Apartments, Plot no. 78, Sector - 1, B/H Modern School, Gandhidham 370201 Gujarat",GUJARAT,370201,02836-235462,60623-2836260623,9427251818,av.bharathi@yahoo.com,,www.tcc.ac.in,"Yes
Year1- 2016 Year2- 2017",Grant-in-aid,"Affiliated
(Affiliated PG & Above college)","Yes
26/04/1976
View Document","Yes
26/04/1976
View Document",No,No,No,No,Gujarat,"Krantiguru Shyamji Krishna
Verma Kachchh University",1221,1338,0,2559,17/08/2007,30/09/2016 ,,,,,,,,,,,,,,,
19/11/2018,C-22110,PBCOGN102222,Accreditation,Cycle1,AKAL DEGREE COLLEGE,01/01/1968,Dr. DARSHAN KAUR,Principal(in-charge),Yes,"AKAL DEGREE COLLEGE, MASTUANA NH-7, GURSAGAR MASTUANA SAHIB, DISTT. SANGRUR",PUNJAB,,SANGRUR,148001,01672-289369,01672-289212,9915010868,adcmastuana@yahoo.com,mastuanasaab@gmail.com,Mr. SURMUKH SINGH DHANOA IQAC / CIQA coordinator,"AKAL DEGREE COLLEGE, MASTUANA NH-7, GURSAGAR MASTUANA SAHIB, DISTT. SANGRUR",PUNJAB,148001,01672-289001,01672-289795,9417679729,naac.adcmastuana@gmail.com,ssdhanoa1961@gmail.com,www.adcmastuana.org,"Yes
Year1- 2017 Year2- 2018",Grant-in-aid,"Affiliated
(Affiliated PG & Above college)","Yes
01/01/1968
View Document","Yes
01/01/1968
View Document",No,No,No,No,Punjab,Punjabi University,851,413,0,1264,11/08/2015,28/02/2018 ,,,,,SANGRUR,,,,,,,,,,
30/05/2023,C-34114,MHCOGN22839,Accreditation,Cycle2 Cycle Date Grade Score 1 19/02/2016 A 3.03 2 21/12/2023 B+ 2.66,SOPHIA SMT. MANORAMA DEVI SOMANI COLLEGE,01/01/2009,Dr. SR.ANILA VERGHESE,Principal,Yes,"Sophia Campus, Bhulabhai Desai Road, Mumbai",MAHARASHTRA,MUMBAI CITY,MUMBAI,400026,022-9769689309,-,9769689309,sophiamanoramadevi@gmail.com,info@sophiapolytechnic.com,Mrs. DOPATI BANERJEE IQAC / CIQA coordinator,D 110 Manish Apartments Om Nagar Vasai West,MAHARASHTRA,401202,022-23513157,-,9823410439,dopati_banerjee@yahoo.co.in,,https://www.sophiahaft.com,"Yes
Year1- 2021 Year2- 2022",Private and Self Financing,"Affiliated
(Affiliated/Constituent Colleges)",No,No,No,No,No,No,Maharashtra,University of Mumbai,107,101,0,208,30/09/2014,09/12/2022 ,,,,,MUMBAI,,,,,,,,,,
10/04/2024,C-48589,JHCOGN113617,Accreditation,Cycle1,A R S B.ED COLLEGE,08/04/2010,Dr. SUNIL KUMAR YADAV,Principal,Yes,"BSL-LH ,STATION ROAD",JHARKHAND,BOKARO,BOKARO STEEL CITY,827010,06542-319306,06542-257177,6200536277,write2arsbedcollege@gmail.com,sunilkryadav1979@gmail.com,Mr. AMAR NATH PRASAD IQAC / CIQA coordinator,YADUWANS NAGAR NEAR BALAJI MIXTURE FACTORY CHAS,JHARKHAND,827013,-,-,7004524840,akverma3012@gmail.com,,www.arsbedcollege.com,"Yes
Year1- 2021 Year2- 2022",Private,"Affiliated
(Teacher Education Institutions)",No,No,No,No,No,Yes,Jharkhand,"Binod Bihari Mahto
Koyalanchal University
Dhanbad",60,135,0,195,25/11/2019,01/02/2024 ,,,,,BOKARO STEEL CITY,,,,,,,,,,
29/08/2018,C-44452,JHCOGN027036,Accreditation,Cycle1,"ADARSH COLLEGE, RAJDHANWAR",01/01/1973,Mr. DR. SUKHDEO SINGH,Principal(in-charge),Yes,"AT- GANGAPUR, PO- ORKHAR, PS- RAJDHANWAR,",JHARKHAND,,RAJDHANWAR,825412,06554-235910,-,9801163263,acollegerdn@gmail.com,lionpkrana@gmail.com,Mr. YUGAL KISHOR ROY IQAC / CIQA coordinator,"ADARSH COLLEGE, RAJDHANWAR",JHARKHAND,825412,-,-,9431192452,pradeepraaz@gmail.com,,www.adarshcollegerdn.org,"Yes
Year1- 2016 Year2- 2017",Constituent,"Affiliated
(Affiliated UG College)","Yes
15/10/1990
View Document",No,No,No,No,No,Jharkhand,Vinoba Bhave University,1197,970,0,2167,02/09/2016,27/02/2018 ,,,,,RAJDHANWAR,,,,,,,No,,,
01/12/2022,C-21299,UKCOGN108012,Accreditation,Cycle1,SHIVALIK COLLEGE OF ENGINEERING,07/05/2008,Dr. PRAHLAD SINGH,Director,Yes,"Sihniwala, P.O. Sherpur, Shimla By Pass Road, Dehradun, Uttarakhand 248197",UTTARAKHAND,DEHRADUN,DEHRADUN,248197,0135-2639401,-,9997997584,director@sce.org.in,iqac@sce.org.in,Dr. KULDEEP PANWAR Associate Professor,"Sihniwala, P.O. Sherpur, Shimla Road",UTTARAKHAND,248197,0135-2693401,-,9760305410,drkuldeep.panwar@sce.org.in,info@sce.org.in,www.shivalikcollege.edu.in,"Yes
Year1- 2021 Year2- 2022",Private and Self Financing,"Affiliated
(Affiliated/Constituent Colleges)",No,No,No,No,No,Yes,Uttarakhand,"Uttrakhand Technical
University",,,,,10/01/2019,25/02/2022 ,,,,,DEHRADUN,,,,,,,No,,,
03/05/2024,C-755,GJCOGN116719,Accreditation,Cycle1,VIDYASAGAR INFOTECH COLLEGE,11/06/2008,Prof. SHRIRAM PARSOTTAM KEVALRAMANI,Principal(in-charge),No,"SILVER PLAZA , 7 PATEL COLONY , NEAR DEEP BHAVAN , JAMNAGAR",GUJARAT,JAMNAGAR,JAMNAGAR,361008,0288-2750868,-,9824872679,vsiinfocollege@gmail.com,pankajchhichhia@gmail.com,Prof. DHAVAL KHANDHAR IQAC / CIQA coordinator,"opp. Saurashtra Oil Mill , Salaya Road, Harshadpur , Jam khambhaliya",GUJARAT,361305,02833-232808,-,9427240393,dhavalkhandhar11@gmail.com,dhavalkhandhar1993@gmail.com,www.vsicollege.info,"Yes
Year1- 2023 Year2- 2024",Private and Self Financing,"Affiliated
(Affiliated/Constituent Colleges)",No,No,No,No,No,Yes,Gujarat,Saurashtra University,923,459,0,1382,17/06/2019,11/03/2024 ,,,,,JAMNAGAR,,,,,,,,,,
28/03/2019,C-47330,MPCOGN103627,Accreditation,Cycle1,GOVT. COLLEGE MUNDI,05/06/2010,Dr. C.S.SHRIVASTAVA,Principal(in-charge),Yes,Govt. College Jamniya Road Mundi Dist. Khandwa (M.P.) Pin Code 450112,MADHYA PRADESH,,MUNDI,450112,07326-286004,07326-286000,9425320332,hegcmunkha@mp.gov.in,cs.shrivastava13@gmail.com,Dr. MANISHA KAVISHWAR Associate Professor,Govt. College Mundi Dist. Khandwa (M.P.),MADHYA PRADESH,450112,0731-2366322,0731-236600,9009548018,manisha.kavishwar@gmail.com,collegemundi@Yahoo.co.uk,hegcmunkha@mp.gov.in,"Yes
Year1- 2013 Year2- 2014",Government,"Affiliated
(Affiliated UG College)","Yes
02/05/2017
View Document",No,No,No,No,No,"Madhya
Pradesh",Devi Ahilya Vishwavidyalaya,94,182,,276,10/12/2018,19/02/2018 ,,,,,MUNDI,,,,,,,No,,,
20/01/2023,U-0818,HRUNGN113280,Accreditation,Cycle1,,06/08/2014,Prof. I.K. Bhat,Vice Chancellor,,,Haryana,,Faridabad,121004,0129-4268587,,9811115064,vc@mru.edu.in,vc@mru.edu.in,Dr. SANGITA BANGA Professor,"Sector-43, Aravali Hills, Delhi- Surajkund Road, Faridabad",Haryana,121004,0129-4268628,,9811115064,pvc@mru.edu.in,director.iqac@mru.edu.in,www.mru.edu.in,"Yes
Year1- 2021 Year2- 2022",,,"Yes
06/08/2014
View Document",No,,,,,,,1416,738,0,2154,10/08/2017,22/02/2022 ,MANAV RACHNA UNIVERSITY,Yes,"Sector-43, Aravali Hills, Delhi- Surajkund Road, Faridabad",-,Faridabad,-,"State Private University
View Document",Unitary,No,No,Yes,,,,
18/12/2020,C-40165,KACOGN103697,Accreditation,Cycle1,SRI DEVARAJ URS COLLEGE OF NURSING,10/03/1998,Dr. G.VIJAYALAKSHMI,Principal,Yes,SRI DEVARAJ URS COLLEGE OF NURSING TAMAKA KOLAR,KARNATAKA,KOLAR,KOLAR,563103,08152-243003,-,9880092435,sduconson@yahoo.com,principalsducon@gmail.com,Dr. ZEANATH CARIENA J Professor,SRI DEVARAJ URS COLLEGE OF NURSING TAMAKA KOLAR,KARNATAKA,563103,08152-,-,9880609853,zeanathcj@gmail.com,radhams1972@gmail.com,www.sducon.ac.in,"Yes
Year1- 2017 Year2- 2018",Self Financing,"Affiliated
(Nursing college)",No,No,No,No,No,Yes,Karnataka,"Rajiv Gandhi University of
Health Sciences",27,340,0,367,27/09/2019,30/11/2020 ,,,,,KOLAR,,,,,,,,,,
21/04/2023,C-24207,APCOGN13084,Accreditation,Cycle3 Cycle Date Grade Score 1 31/03/2007 B 70.70 2 21/02/2014 B 2.5 3 29/12/2023 B++ 2.98,"GOVERNMENT DEGREE COLLEGE, RAZOLE, EGDT",03/08/1968,Dr. P.SAIBABU,Principal,Yes,Government Degree College Razole Near NH 216 Beside BSNL Office Doragarithota,ANDHRA PRADESH,EAST GODAVARI,RAZOLE,533242,08862-221676,-,9440976477,jkcrjyec.razole@gmail.com,saibabu.pithani@gmail.com,Dr. P.P.CHANDRA BOSE IQAC / CIQA coordinator,,ANDHRA PRADESH,533242,08862-221046,-,9490712512,iqac@gdcrazole.ac.in,bose.amp@gmail.com,www.gdcrazole.ac.in,"Yes
Year1- 2021 Year2- 2022",Government,"Affiliated
(Affiliated/Constituent Colleges)","Yes
03/08/1968
View Document","Yes
03/08/1968
View Document",No,No,No,No,"Andhra
Pradesh",Adikavi Nannaya University,271,269,0,540,01/07/2007,09/01/2023 ,,,,,RAZOLE,,,,,,,,,,
16/04/2019,C-18880,MHCOGN11173,Accreditation,Cycle3 Cycle Date Grade Score 1 03/05/2004 B 72.10 2 05/05/2014 B 2.5 3 18/10/2019 C 1.91,VILLAGE UPLIFT SOCIETY'S ANNASAHEB GUNDEWAR COLLEGE,28/06/1984,Dr. DEVENDRA MOHTURE,Principal,Yes,"Gundewar Marg, Chhaoni, Katol Road, Nagpur",MAHARASHTRA,,NAGPUR,440013,0712-2591008,0712-2591735,9422809770,annasahebgundewarcollege6@gmail.com,info@gundewarcollege.com,Dr. VARSHA THAKRE IQAC / CIQA coordinator,"Gundewar Marg, Chhaoni, Katol Road,
Nagpur",MAHARASHTRA,440013,0712-2290740,0712-2226863,9284188976,vthakre.nagpur@gmail.com,,www.gundewarcollege.com,"Yes
Year1- 2017 Year2- 2018",Grant-in-aid and Self Financing,"Affiliated
(Affiliated PG & Above college)","Yes
03/12/1993
View Document","Yes
18/05/1998
View Document",No,No,No,No,Maharashtra,"The Rashtrasant Tukadoji
Maharaj Nagpur University",778,1063,0,1841,24/02/2009,26/12/2018 ,,,,,NAGPUR,,,,,,,,,,
23/02/2023,U-0531,UPUNGN112787,Accreditation,Cycle1,,10/10/1975,Dr. Bijendra Singh,Vice Chancellor,,,Uttar pradesh,,Ayodhya,224229,05270-262161,,9415720287,vcnduat2018@gmail.com,,Prof. Sushant Srivastava IQAC / CIQA coordinator,Acharya Narendra Deva University of Agriculture and Technolgy Kumarganj Ayodhya,Uttar pradesh,224229,05270-262035,,9450097804,sushantvet@gmail.com,ddwivedu2000@gmail.com,www.nduat.org,"Yes
Year1- 2021 Year2- 2022",,,"Yes
01/08/2012
View Document","Yes
01/08/2012
View Document",,,,,,,1640,357,0,1997,07/02/2020,20/04/2022 ,"ACHARYA NARENDRA DEVA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY, KUMARGANJ, AYODHYA",Yes,Acharya Narendra Deva University of Agriculture and Technology Kumarganj Ayodhya,05270-262097,Ayodhya,-,"State University
View Document",Unitary,No,,,,,,
15/03/2021,C-29845,MPCOGN11809,Accreditation,Cycle3 Cycle Date Grade Score 1 16/09/2004 B+ 78.50 2 03/03/2015 B 2.59 3 19/04/2022 B 2.24,MATA JIJABAI GOVERNMENT GIRLS POST GRADUATE COLLEGE (AUTONOMOUS),01/07/1956,Dr. SUMITRA WASKEL,Principal,Yes,Mata Jijabai Government P.G. Girls College Moti Tabela Indore 452001,MADHYA PRADESH,INDORE,INDORE,452001,0731-2366587,0731-2366121,9826161009,heggpgcmtind@mp.gov.in,ggpgcind@gmail.com,,"Professor of Economics, Mata Jijabai
Government P.G. Girls College Moti
Tabela Indore",MADHYA PRADESH,452001,0731-4970223,0731-2360121,8319859085,kushal.kushaljain1@gmail.com,kushal_jain1@yahoo.com,ggpgc.in,"Yes
Year1- 2018 Year2- 2019",Government,"Affiliated
(Autonomous colleges)","Yes
01/07/1956
View Document","Yes
01/07/1956
View Document","Yes
View Document",No,No,No,"Madhya
Pradesh",Devi Ahilya Vishwavidyalaya,0,8256,0,8256,01/05/2011,Not Found,,,,,INDORE,,,,,,,,,,
19/03/2021,C-43321,KLCOGN105281,Accreditation,Cycle1,SREEPATHY INSTITUTE OF MANAGEMENT AND TECHNOLOGY,25/06/2009,Dr. S P SUBRAMANIAN,Principal,Yes,"SREEPATHY INSTITUTE OF MANAGEMENT AND TECHNOLOGY VAVANOOR PO,KOOTTANAD VIA PALAKKAD DISTRICT",KERALA,PALAKKAD,VAVANNOOR KOOTTANAD,679533,0466-2371500,0466-2370300,9496292270,principal@simat.ac.in,principal@simat.ac.in,Prof. SUSHMA M IQAC / CIQA coordinator,SREEPATHY INSTITUTE OF MANAGEMENT AND TECHNOLOGY VAVANOOR PO. KOOTTANAD VIA PALAKKAD DISTRICT,KERALA,679533,0466-2371800,0466-2370200,9846277017,sushma.m@simat.ac.in,naac_coordinator@simat.ac.in,simat.ac.in,"Yes
Year1- 2019 Year2- 2020",Private and Self Financing,"Affiliated
(Affiliated UG College)",No,No,No,No,No,Yes,Kerala,"A.P.J. Abdul Kalam
Technological University",307,191,,498,16/09/2019,27/02/2020 ,,,,,,,,,,,,,,,
11/01/2019,U-0345,MZUNGN11037,Accreditation,Cycle2 Cycle Date Grade Score 1 21/02/2014 A 3.12 2 20/05/2019 A 3.16,,02/07/2001,Prof. KRS Sambasiva Rao,Vice Chancellor,,,Mizoram,,Aizawl,796004,0389-2330650,,9862323015,naac.mzu@mzu.edu.in,vc@mzu.edu.in,Prof. Lalnundanga IQAC / CIQA coordinator,"Mizoram University (A Central University) Tanhril, Aizawl - 796004",Mizoram,796004,0389-2331593,,8725885934,iqacmzu@yahoo.com,lalnundanga@rediffmail.com,www.mzu.edu.in,"Yes
Year1- 2017 Year2- 2018",,,"Yes
31/08/2001
View Document","Yes
31/08/2001
View Document",,,,,,,1579,1457,0,3036,23/07/2009,03/07/2018 ,MIZORAM UNIVERSITY,Yes,"Mizoram University (A Central University) Tanhril, Aizawl - 796004 Mizoram",0389-2330644,Aizawl,0389-2330834,"Central University
View Document",Affiliating,No,No,Yes,,,,
24/06/2024,C-17253,ASCOGN12152,Accreditation,Cycle3 Cycle Date Grade Score 1 28/02/2005 B+ 78.00 2 05/11/2016 A 3.04 3 06/12/2024 B+ 2.69,KAMRUP COLLEGE,25/07/1966,Dr. DEBENDRA KUMAR BEZBARUAH,Principal,Yes,"Kamrup College, Vill. Rupiabathan, P.O -Chamata, District- Nalbari (Assam), PIN-781306 P.S- Belsor,",ASSAM,NALBARI,CHAMATA,781306,03624-232421,-,9435129492,kcc1966@rediffmail.com,iqackcc21@gmail.com,Dr. BISWAJIT DAS IQAC / CIQA coordinator,"Department of Economics, Kamrup College,
Chamata, Village- Rupiabathan, P.O-
Chamata, District-Nalbari, PIN-781306",ASSAM,781306,3624-232421,-,8723928575,bdkcc@rediffmail.com,kchoudhury_2010@rediffmail.com,www.kamrupcollege.co.in,"Yes
Year1- 2022 Year2- 2023",Government,"Affiliated
(Affiliated/Constituent Colleges)","Yes
31/03/1998
View Document","Yes
31/03/1998
View Document",No,No,No,No,Assam,Gauhati University,572,765,0,1337,01/01/2004,19/03/2024 ,,,,,CHAMATA,,,,,,,,,,
06/12/2017,C-6891,GJCOGN101020,Accreditation,Cycle1,D.N.P. (DEESA NAGAR PANCHAYAT) ARTS AND COMMERCE COLLEGE,15/06/1969,Dr.AMRUTLAL PARSHOTTAMDAS PATEL,Principal,Yes,Near Kachchhi Colony,GUJARAT,,DEESA,385535,02744-220500,02744-2744220500,9712772260,deesacollege@yahoo.in,deesacollege@yahoo.in,Mr.TEJAS B. AZAD Associate Professor,Bajarangnagar Kant Road Deesa,GUJARAT,385535,02744-232557,02744-232559,9429922337,divyaanil1983@gmail.com,,www.spefdeesacolleges.org,"Yes
Year1- 2016 Year2- 2017",Grant-in-aid,"Affiliated
(Affiliated PG & Above college)","Yes
02/04/1988
View Document","Yes
02/04/1988
View Document",No,No,No,No,Gujarat,"Hemchandracharya North
Gujarat University",,,,,28/06/2014,29/01/2017 ,,,,,DEESA,,,,,,,No,,,
11/09/2023,C-32910,DLCOGN14648,Accreditation,Cycle3 Cycle Date Grade Score 1 21/04/2012 B 2.57 2 03/07/2018 A 3.14 3 14/03/2024 A 3.18,GITARATTAN INTERNATIONAL BUSINESS SCHOOL,01/08/2004,Prof. VIKAS NATH,Director,Yes,"PSP 2A and 2B COMPLEX-II, MADHUBAN CHOWK, ROHINI",DELHI,WEST DELHI,DELHI,110085,011-27555609,-,9711767666,vc@gitarattan.edu.in,director@gitarattan.edu.in,Prof. URVESH CHAUDHARY IQAC / CIQA coordinator,,DELHI,110085,011-27555608,-,9711757555,naac.gibs@gitarattan.edu.in,gibs@gitarattan.edu.in,WWW.GITARATTAN.EDU.IN,"Yes
Year1- 2021 Year2- 2022",Self Financing,"Affiliated
(Affiliated/Constituent Colleges)","Yes
10/03/2017
View Document",No,No,No,No,Yes,Delhi,"Guru Gobind Singh
Indraprashtha University",1113,703,0,1816,22/07/2012,05/04/2023 ,,,,,DELHI,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Delhi,"Guru Gobind Singh
Indraprastha
Vishwavidyalaya",,,,,,,,,,,,,,,,,,,,,
20/10/2023,C-42154,MHCOGN027365,Accreditation,Cycle2 Cycle Date Grade Score 1 30/11/2018 B 2.35 2 06/04/2024 B++ 2.8,"NIVRUTTI BABAJI NAVALE COLLEGE OF COMMERCE AND SCIENCE,KUSGAON (BK),LONAVALA",01/01/2006,Dr. VIJAY BALASAHEB DHOLE,Principal,Yes,"Nivrutti Babaji Navale College of Commerce and Science, Kusgaon (BK), Lonavala,Taluka -Maval ,District-Pune.",MAHARASHTRA,PUNE,LONAVALA,410401,02114-673307,-,8411887342,principal.nbncoc@sinhgad.edu,vijay.dh04@gmail.com,,"Nivrutti Babaji Navale College of
Commerce and Science,Kusgaon (BK),
Lonavala, Taluka Maval, District - Pune.",MAHARASHTRA,410401,02114-673548,-,9960210243,uvpatil@sinhgad.edu,iqac.nbncocs@sinhgad.edu,"http://www.sinhgad.edu/sinhgad-institute
s-acs/college-
pages/NBNCOC/Principals_Desk.html","Yes
Year1- 2022 Year2- 2023",Private and Self Financing,"Affiliated
(Affiliated/Constituent Colleges)",No,No,No,No,No,No,Maharashtra,"Savitribai Phule Pune
University",291,171,0,462,16/06/2016,14/12/2022 ,,,,,LONAVALA,,,,,,,,,,
23/08/2023,C-11990,WBCOTE13455,Accreditation,Cycle3 Cycle Date Grade Score 1 31/03/2007 A 85.10 2 03/03/2015 A 3.56 3 23/08/2024 A 3.01,RAMAKRISHNA MISSION SIKSHANAMANDIRA,04/08/1958,Mr. SWAMI VIDYAMRITANANDA,Principal(in-charge),Yes,"RAMAKRISHNA MISSION SIKSHANAMANDIRA 8 AMRITALAL NATH LANE BELUR MATH HOWRAH, WEST BENGAL -711202.",WEST BENGAL,HOWRAH,BALLY,711202,033-26546081,033-26544412,9748580334,rkmsmc@gmail.com,rkmsm@rediffmail.com,Dr. SATYAJIT KAR IQAC / CIQA coordinator,"RAMAKRISHNA MISSION SIKSHANAMANDIRA 8
AMRITALAL NATH LANE BELUR MATH HOWRAH,
WEST BENGAL-711202",WEST BENGAL,711202,033-26549281,033-26544412,9433111118,sk@rkmsm.org,iqac@rkmsm.org,www.rkmsm.org,"Yes
Year1- 2022 Year2- 2023",Grant-in-aid,"Affiliated
(Teacher Education Institutions)","Yes
04/08/1958
View Document","Yes
04/08/1958
View Document","Yes
View Document","Yes
View Document",No,Yes,West Bengal,University of Calcutta,336,0,0,336,28/02/2007,23/12/2022 ,,,,,BALLY,,,,,,,,,,
13/07/2023,C-19776,TSCOGN113282,Accreditation,Cycle1,ANUBOSE INSTITUTE OF TECHNOLOGY,27/06/2008,Dr. N.V.SUBBARAO,Principal,Yes,"K.S.P ROAD, PALONCHA, BHADRADRI KOTHAGUDEM (DISTRICT), TELANGANA.",TELANGANA,BHADRADRI KOTHAGUDEM,PALONCHA,507115,08744-258334,08744-258385,9246907407,abitjntu@gmail.com,abitnaac@gmail.com,Mr. K.NAGENDRA BABU IQAC / CIQA coordinator,"K.S.P ROAD, PALONCHA, BHADRADRI KOTHAGUDEM (DISTRICT), TELANGANA.",TELANGANA,507115,08744-258335,08744-258385,9885460959,abitiqac@gmail.com,abit.exams@gmail.com,www.abit.ac.in,"Yes
Year1- 2021 Year2- 2022",Private,"Affiliated
(Affiliated/Constituent Colleges)","Yes
26/06/2017
View Document",No,No,No,No,Yes,Telangana,"Jawaharlal Nehru
Technological University",254,1072,0,1326,01/07/2017,19/01/2023 ,,,,,PALONCHA,,,,,,,,,,
29/03/2023,C-51366,MHCOGN103520,Accreditation,Cycle1,UMANG GEETAI COLLEGE OF WOMEN'S EDUCATION,01/01/2013,Dr. SHASHIKALA GHANSHYAM GAIKWAD,Principal(in-charge),Yes,"Mauja-Nara, Ranjana Housing Society, Behind BSNL office, Koradi Road, panjara, Nagpur",MAHARASHTRA,NAGPUR,NAGPUR,441111,0709-299667,-,9422332373,umanggeetaicollege0425@gmail.com,umangkn@gmail.com,Mrs. VAISHALI FULEY IQAC / CIQA coordinator,"Mauja-Nara, Ranjana Housing Society, Behind BSNL Office, Koradi Road, Panjara Nagpur",MAHARASHTRA,441111,07109-299667,-,8208233253,geetaiwcngp@yahoo.in,,www.umanggeetai.com,"Yes
Year1- 2021 Year2- 2022",Private,"Affiliated
(Affiliated/Constituent Colleges)","Yes
04/11/2016
View Document",No,No,No,No,No,Maharashtra,"Smt. Nathibai Damodar
Thackersey Women’s
University",0,394,0,394,23/08/2018,02/01/2023 ,,,,,NAGPUR,,,,,,,,,,
14/11/2018,U-0080,CHUNGN101811,Accreditation,Cycle1,,09/11/1921,Dr. Manoj Kumar Arora,Director,,,Chandigarh,,CHANDIGARH,160012,0172-2746074,,9814741410,webmaster@pec.ac.in,registrar@pec.ac.in,Dr. Sanjeev Sofat Professor,"CSE Dept., Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh",Chandigarh,,0172-2753851,,9814741410,headcse@pec.ac.in,sanjeevsofat@pec.ac.in,www.pec.ac.in,"Yes
Year1- 2017 Year2- 2018",,,No,No,,,,,,,2648,633,0,3281,01/08/2010,24/07/2018 ,"PUNJAB ENGINEERING COLLEGE (DEEMED TO BE UNIVERSITY), CHANDIGARH",Yes,Punjab Engineering College (Deemed to be University) Sector 12 Chandigarh-160012,0172-2753051,CHANDIGARH,0172-2745175,"Deemed University
View Document",Unitary,No,No,Yes,,,,
23/07/2018,C-18601,MHCOGN101835,Accreditation,Cycle1,GURU NANAK INSTITUTE OF ENGINEERING AND TECHNOLOGY,31/07/2007,Dr. SANJEEV SHRIVASTAVA,Principal(in-charge),Yes,"Khasra No. 95, Mouza Dahegaon, Kalmeshwar Road, Nagpur",MAHARASHTRA,,NAGPUR,441501,07118-661402,07118-661410,9765569233,gnietnagpur@gmail.com,gni.nagpur@gmail.com,Mr. KISHOR WAGH IQAC / CIQA coordinator,"Khasra No. 95, Mouza Dahegaon, Kalmeshwar Road, Nagpur",MAHARASHTRA,441501,,07118-,9823935753,headiqac@gniet.ac.in,kishor_25may@rediffmail.com,www.gniet.ac.in,"Yes
Year1- 2017 Year2- 2018",Private and Self Financing,"Affiliated
(Affiliated PG & Above college)",No,No,No,No,No,Yes,Maharashtra,"The Rashtrasant Tukadoji
Maharaj Nagpur University",484,323,0,807,07/09/2013,Not Found,,,,,NAGPUR,,,,,,,,,,
12/12/2023,U-0391,RJUNGN10005,Accreditation,Cycle4 Cycle Date Grade Score 1 07/02/2000 Five 82.55 Star 2 29/01/2009 A 3.71 3 16/12/2016 A 3.45 4 29/11/2024 A++ 3.68,,01/01/1964,Prof. V. Ramgopal Rao,Vice Chancellor,,,Rajasthan,,Pilani,333031,01596-255247,,9784689129,iqac_bits@pilani.bits-pilani.ac.in,vc@pilani.bits-pilani.ac.in,Prof. Mani Sankar Dasgupta IQAC / CIQA coordinator,Vidya Vihar Jhunjhunu Dist.,Rajasthan,333031,01596-255512,,9829227459,dasgupta@pilani.bits-pilani.ac.in,,www.bits-pilani.ac.in,"Yes
Year1- 2022 Year2- 2023",,,No,,,,,,,,,,,,25/05/2004,16/08/2023 ,BIRLA INSTITUTE OF TECHNOLOGY AND SCIENCE,Yes,Vidya Vihar Jhunjhunu Dist.,01596-244875,Pilani,01596-244183,"Deemed University
View Document",Unitary,,,,,,,
